state,district,n_low_pct,n_med_pct,n_high_pct,p_low_pct,p_med_pct,p_high_pct,k_low_pct,k_med_pct,k_high_pct
Andaman And Nicobar Islands,Nicobars,85.9,14.0,0.1,90.5,9.5,0.0,90.9,9.1,0.0
Andaman And Nicobar Islands,North And Middle Andaman,82.1,17.9,0.0,89.8,10.1,0.1,82.7,17.3,0.0
Andaman And Nicobar Islands,South Andamans,83.8,16.2,0.0,89.3,10.6,0.1,89.2,10.7,0.1
Andhra Pradesh,Alluri Sitharama Raju,44.4,51.7,4.0,24.5,23.8,51.6,40.3,40.3,19.4
Andhra Pradesh,Anakapalli,55.1,24.9,20.0,6.0,15.7,78.3,11.8,33.7,54.5
Andhra Pradesh,Ananthapuramu,95.2,4.8,0.0,1.8,21.0,77.3,2.1,31.5,66.5
Andhra Pradesh,Annamayya,94.9,4.3,0.8,19.7,31.5,48.8,3.6,54.5,41.9
Andhra Pradesh,Bapatla,83.0,16.9,0.1,47.1,51.8,1.2,1.9,19.7,78.4
Andhra Pradesh,Chittoor,67.9,32.0,0.2,16.5,34.0,49.5,14.8,50.1,35.2
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,42.4,43.3,14.2,13.3,28.4,58.3,7.4,25.5,67.0
Andhra Pradesh,East Godavari,53.9,45.1,0.9,47.5,45.0,7.5,23.9,50.8,25.3
Andhra Pradesh,Eluru,95.0,4.9,0.1,15.1,16.2,68.7,20.7,36.1,43.2
Andhra Pradesh,Guntur,81.9,17.5,0.6,5.4,12.5,82.1,4.4,10.5,85.0
Andhra Pradesh,Kakinada,49.0,43.7,7.3,19.1,28.8,52.1,12.4,31.2,56.4
Andhra Pradesh,Krishna,35.5,61.5,3.0,29.4,32.7,37.9,7.0,9.7,83.3
Andhra Pradesh,Kurnool,27.2,70.8,2.0,10.9,73.8,15.2,1.2,20.9,78.0
Andhra Pradesh,Nandyal,49.3,44.7,6.0,5.6,50.0,44.3,0.5,20.8,78.7
Andhra Pradesh,Ntr,87.4,12.3,0.3,28.9,22.8,48.3,7.5,27.7,64.7
Andhra Pradesh,Palnadu,62.5,34.3,3.3,18.7,37.9,43.3,8.0,20.7,71.3
Andhra Pradesh,Parvathipuram Manyam,78.9,20.9,0.2,10.1,28.2,61.7,23.3,30.0,46.7
Andhra Pradesh,Prakasam,97.4,2.4,0.2,5.0,26.6,68.4,1.0,14.8,84.3
Andhra Pradesh,Sri Potti Sriramulu Nellore,98.6,1.4,0.0,16.0,19.8,64.2,33.3,46.4,20.3
Andhra Pradesh,Sri Sathya Sai,94.8,5.2,0.0,3.1,23.4,73.5,7.9,42.3,49.8
Andhra Pradesh,Srikakulam,82.2,17.6,0.2,9.2,72.2,18.6,2.2,22.5,75.3
Andhra Pradesh,Tirupati,71.0,29.0,0.1,14.7,34.0,51.3,14.6,50.0,35.4
Andhra Pradesh,Visakhapatnam,62.2,37.2,0.6,18.2,19.1,62.6,37.3,48.5,14.2
Andhra Pradesh,Vizianagaram,92.9,7.0,0.1,6.2,31.5,62.3,2.0,20.8,77.2
Andhra Pradesh,West Godavari,74.6,25.1,0.3,12.4,48.8,38.9,4.5,37.1,58.4
Andhra Pradesh,Y.S.R. Kadapa,94.3,5.6,0.1,20.9,22.5,56.6,1.8,11.9,86.3
Arunachal Pradesh,Anjaw,7.3,92.7,0.0,22.0,12.9,65.0,69.1,9.4,21.5
Arunachal Pradesh,Changlang,6.5,92.4,1.1,8.0,63.4,28.6,16.8,82.1,1.1
Arunachal Pradesh,Dibang Valley,13.5,85.9,0.6,55.1,13.1,31.8,63.9,33.4,2.7
Arunachal Pradesh,East Kameng,15.4,40.3,44.2,12.0,86.8,1.2,1.9,38.8,59.3
Arunachal Pradesh,East Siang,0.6,18.2,81.1,4.5,67.2,28.3,10.0,83.8,6.2
Arunachal Pradesh,Kamle,1.0,90.1,9.0,0.3,0.9,98.8,37.9,62.1,0.0
Arunachal Pradesh,Kra Daadi,0.3,99.6,0.1,0.1,99.9,0.1,2.5,97.4,0.1
Arunachal Pradesh,Kurung Kumey,0.7,99.2,0.0,0.8,99.0,0.2,0.8,99.1,0.1
Arunachal Pradesh,Leparada,0.1,99.8,0.0,0.2,99.7,0.2,0.6,99.3,0.0
Arunachal Pradesh,Lohit,20.4,79.5,0.1,26.0,26.3,47.7,79.9,9.9,10.2
Arunachal Pradesh,Longding,0.7,83.8,15.5,0.4,98.8,0.8,1.5,39.0,59.5
Arunachal Pradesh,Lower Dibang Valley,18.5,80.6,1.0,64.5,8.7,26.8,45.7,39.0,15.3
Arunachal Pradesh,Lower Siang,0.6,28.5,70.9,4.4,55.0,40.6,13.5,80.9,5.6
Arunachal Pradesh,Lower Subansiri,1.9,81.3,16.8,0.3,0.8,99.0,26.0,71.4,2.7
Arunachal Pradesh,Namsai,52.1,45.9,2.0,15.6,34.5,49.9,50.7,20.1,29.2
Arunachal Pradesh,Pakke Kessang,17.6,45.6,36.8,17.0,81.7,1.3,3.2,38.9,57.8
Arunachal Pradesh,Papum Pare,0.4,99.6,0.0,0.2,99.7,0.2,0.9,99.0,0.0
Arunachal Pradesh,Shi Yomi,49.4,47.5,3.2,20.2,79.5,0.2,30.2,67.7,2.1
Arunachal Pradesh,Siang,0.5,24.1,75.4,2.5,45.6,51.8,8.6,81.3,10.1
Arunachal Pradesh,Tawang,0.0,100.0,0.0,0.0,99.9,0.1,0.1,99.8,0.1
Arunachal Pradesh,Tirap,0.6,80.9,18.5,0.0,98.5,1.5,1.9,39.7,58.4
Arunachal Pradesh,Upper Siang,39.0,60.8,0.2,19.6,80.4,0.0,26.2,71.8,2.0
Arunachal Pradesh,Upper Subansiri,0.4,99.5,0.0,0.2,99.8,0.0,1.0,98.9,0.1
Arunachal Pradesh,West Kameng,35.0,57.5,7.5,12.2,60.2,27.7,38.9,55.8,5.3
Arunachal Pradesh,West Siang,0.3,96.2,3.5,0.2,98.5,1.3,1.6,97.6,0.9
Assam,Bajali,1.1,66.0,32.9,25.8,37.7,36.4,67.7,27.7,4.6
Assam,Baksa,3.7,68.9,27.4,12.8,18.5,68.7,50.0,46.9,3.0
Assam,Barpeta,0.1,71.7,28.1,0.4,13.0,86.6,26.8,68.5,4.7
Assam,Biswanath,3.1,45.1,51.7,16.8,25.7,57.6,49.2,45.2,5.6
Assam,Bongaigaon,2.1,56.7,41.2,19.5,34.6,45.8,46.2,47.6,6.2
Assam,Cachar,1.4,47.3,51.2,13.9,27.7,58.4,29.3,57.4,13.3
Assam,Charaideo,2.7,51.2,46.1,9.2,27.5,63.3,55.8,37.4,6.8
Assam,Chirang,2.0,44.3,53.7,8.6,18.5,72.9,43.4,51.5,5.1
Assam,Darrang,1.7,51.4,46.9,4.8,19.6,75.6,43.7,41.8,14.5
Assam,Dhemaji,2.2,51.2,46.6,11.1,22.0,66.9,49.9,41.2,8.9
Assam,Dhubri,0.7,74.0,25.3,12.5,21.4,66.1,37.9,57.9,4.2
Assam,Dibrugarh,2.4,56.7,40.9,13.2,31.6,55.2,39.4,51.5,9.1
Assam,Dima Hasao,1.0,23.6,75.4,4.0,24.8,71.2,14.2,67.8,18.0
Assam,Goalpara,0.3,67.9,31.8,7.6,20.4,72.0,42.8,53.0,4.2
Assam,Golaghat,0.4,74.8,24.8,3.4,29.8,66.8,16.9,73.5,9.5
Assam,Hailakandi,1.2,53.8,45.0,7.3,23.4,69.4,16.8,69.7,13.5
Assam,Hojai,2.2,64.2,33.6,16.7,27.6,55.7,37.4,54.4,8.2
Assam,Jorhat,1.1,67.8,31.1,12.1,26.9,61.0,39.0,55.4,5.6
Assam,Kamrup,3.0,34.4,62.6,14.1,29.2,56.7,28.1,62.3,9.6
Assam,Kamrup Metro,3.2,75.2,21.5,13.7,23.3,63.1,48.8,40.4,10.7
Assam,Karbi Anglong,0.9,75.1,24.0,24.3,35.1,40.6,28.2,65.8,6.0
Assam,Kokrajhar,2.0,66.8,31.3,4.5,18.5,77.0,50.6,42.8,6.7
Assam,Lakhimpur,2.5,50.5,46.9,4.8,20.2,75.0,55.9,33.8,10.3
Assam,Marigaon,3.7,42.4,53.9,9.3,13.9,76.8,45.3,40.3,14.4
Assam,Nagaon,0.8,79.1,20.1,11.7,31.6,56.7,35.2,58.0,6.8
Assam,Nalbari,3.8,40.4,55.7,12.4,24.1,63.4,33.1,55.9,11.0
Assam,Sivasagar,1.5,52.3,46.2,19.3,37.0,43.7,29.8,58.2,12.0
Assam,Sonitpur,1.3,42.6,56.0,7.8,24.7,67.4,31.2,60.4,8.4
Assam,South Salmara Mancachar,1.2,75.3,23.5,40.2,29.3,30.5,59.1,39.0,1.9
